"board_name","list_name","card_name","osic_epic","days_since","checklist_count","checklist_item_count","checked_item_count","label_count","assignment_count","label_detail","assignnment_detail","url"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT - Consistent API Side - Projects -> Images","opportunistic",15,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/agcZxpWx/94-hznflt-consistent-api-side-projects-images"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT - Consistent API Side - Projects -> Images","opportunistic",15,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/agcZxpWx/94-hznflt-consistent-api-side-projects-images"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Ensure latest oslo.config features are utilized throughout telemetry projects","CFGDFT",9,3,16,4,3,2,"Ceilometer","<No detail>","https://trello.com/c/tiom2lOs/30-cfgdft-ceilometer-ensure-latest-oslo-config-features-are-utilized-throughout-telemetry-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Ensure latest oslo.config features are utilized throughout telemetry projects","CFGDFT",9,3,16,4,3,2,"High Priority","<No detail>","https://trello.com/c/tiom2lOs/30-cfgdft-ceilometer-ensure-latest-oslo-config-features-are-utilized-throughout-telemetry-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Ensure latest oslo.config features are utilized throughout telemetry projects","CFGDFT",9,3,16,4,3,2,"newton-2","<No detail>","https://trello.com/c/tiom2lOs/30-cfgdft-ceilometer-ensure-latest-oslo-config-features-are-utilized-throughout-telemetry-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Audit and update existing configuration for compliance with cross-project spec","CFGDFT",9,2,8,1,3,1,"Ceilometer","<No detail>","https://trello.com/c/bWujhtNE/29-cfgdft-ceilometer-audit-and-update-existing-configuration-for-compliance-with-cross-project-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Audit and update existing configuration for compliance with cross-project spec","CFGDFT",9,2,8,1,3,1,"High Priority","<No detail>","https://trello.com/c/bWujhtNE/29-cfgdft-ceilometer-audit-and-update-existing-configuration-for-compliance-with-cross-project-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Audit and update existing configuration for compliance with cross-project spec","CFGDFT",9,2,8,1,3,1,"newton-2","<No detail>","https://trello.com/c/bWujhtNE/29-cfgdft-ceilometer-audit-and-update-existing-configuration-for-compliance-with-cross-project-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","GNOBEN [Ceilometer] -- Ansible role for production/scale testing deployments","opportunistic",9,2,7,3,3,1,"Opportunistic","<No detail>","https://trello.com/c/3jleOgdI/21-gnoben-ceilometer-ansible-role-for-production-scale-testing-deployments"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","GNOBEN [Ceilometer] -- Ansible role for production/scale testing deployments","opportunistic",9,2,7,3,3,1,"Ceilometer","<No detail>","https://trello.com/c/3jleOgdI/21-gnoben-ceilometer-ansible-role-for-production-scale-testing-deployments"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","GNOBEN [Ceilometer] -- Ansible role for production/scale testing deployments","opportunistic",9,2,7,3,3,1,"Medium Priority","<No detail>","https://trello.com/c/3jleOgdI/21-gnoben-ceilometer-ansible-role-for-production-scale-testing-deployments"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Open Source Strategy","FLTMGT",38,0,0,0,2,0,"Fleet Management","<No detail>","https://trello.com/c/Wt7zaSSi/25-fltmgt-open-source-strategy"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Open Source Strategy","FLTMGT",38,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/Wt7zaSSi/25-fltmgt-open-source-strategy"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Implementation/Design beyond MVP","FLTMGT",37,0,0,0,2,0,"Fleet Management","<No detail>","https://trello.com/c/VaGCPK21/26-fltmgt-implementation-design-beyond-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Implementation/Design beyond MVP","FLTMGT",37,0,0,0,2,0,"Medium Priority","<No detail>","https://trello.com/c/VaGCPK21/26-fltmgt-implementation-design-beyond-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Auditor/Monitor - MVP","FLTMGT",23,0,0,0,2,1,"Fleet Management","<No detail>","https://trello.com/c/nX1l9E3w/24-fltmgt-auditor-monitor-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Auditor/Monitor - MVP","FLTMGT",23,0,0,0,2,1,"Medium Priority","<No detail>","https://trello.com/c/nX1l9E3w/24-fltmgt-auditor-monitor-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Automated Remediation MVP","FLTMGT",23,0,0,0,2,1,"Fleet Management","<No detail>","https://trello.com/c/NLLzJ7Mp/23-fltmgt-automated-remediation-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Automated Remediation MVP","FLTMGT",23,0,0,0,2,1,"Medium Priority","<No detail>","https://trello.com/c/NLLzJ7Mp/23-fltmgt-automated-remediation-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Arbitary Task Execution - MVP","FLTMGT",23,0,0,0,2,1,"Fleet Management","<No detail>","https://trello.com/c/aSHj03c5/27-fltmgt-arbitary-task-execution-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Arbitary Task Execution - MVP","FLTMGT",23,0,0,0,2,1,"Low Priority","<No detail>","https://trello.com/c/aSHj03c5/27-fltmgt-arbitary-task-execution-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",37,0,0,0,3,0,"Horizon","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",37,0,0,0,3,0,"Starter","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",37,0,0,0,3,0,"High Priority","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce unnecessary API calls for Instances","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/lm149Nap/54-hznopt-reduce-unnecessary-api-calls-for-instances"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce unnecessary API calls for Instances","opportunistic",37,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/lm149Nap/54-hznopt-reduce-unnecessary-api-calls-for-instances"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNADM - Add new setting and apply to instances page","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/DEKIwSRZ/50-hznadm-add-new-setting-and-apply-to-instances-page"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNADM - Add new setting and apply to instances page","opportunistic",37,0,0,0,2,0,"High Priority","<No detail>","https://trello.com/c/DEKIwSRZ/50-hznadm-add-new-setting-and-apply-to-instances-page"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - investigate broader caching","opportunistic",37,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/VQdtqhJX/55-hznopt-investigate-broader-caching"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - investigate broader caching","opportunistic",37,0,0,0,2,0,"Medium Priority","<No detail>","https://trello.com/c/VQdtqhJX/55-hznopt-investigate-broader-caching"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOVP - Draft Overview page blueprint","opportunistic",15,0,0,0,2,0,"Horizon","<No detail>","https://trello.com/c/emWdrV4e/51-hznovp-draft-overview-page-blueprint"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOVP - Draft Overview page blueprint","opportunistic",15,0,0,0,2,0,"Low Priority","<No detail>","https://trello.com/c/emWdrV4e/51-hznovp-draft-overview-page-blueprint"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Project - Network - Routers","opportunistic",20,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/oHxLmAZS/90-hznflt-consisten-api-side-project-network-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Project - Network - Routers","opportunistic",20,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/oHxLmAZS/90-hznflt-consisten-api-side-project-network-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Admin - System - Routers","opportunistic",20,0,0,0,2,1,"Horizon","<No detail>","https://trello.com/c/bniDnJjn/92-hznflt-consisten-api-side-admin-system-routers"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNFLT -- Consisten API Side - Admin - System - Routers","opportunistic",20,0,0,0,2,1,"High Priority","<No detail>","https://trello.com/c/bniDnJjn/92-hznflt-consisten-api-side-admin-system-routers"
