"board_name","list_name","card_name","osic_epic","days_since","checklist_count","checklist_item_count","checked_item_count","label_count","assignment_count","label_detail","assignnment_detail","url"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Ensure latest oslo.config features are utilized throughout telemetry projects","CFGDFT",0,3,16,4,3,2,"<No detail>","<No detail>","https://trello.com/c/tiom2lOs/30-cfgdft-ceilometer-ensure-latest-oslo-config-features-are-utilized-throughout-telemetry-projects"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","CFGDFT [Ceilometer] -- Audit and update existing configuration for compliance with cross-project spec","CFGDFT",0,2,8,1,3,2,"<No detail>","<No detail>","https://trello.com/c/bWujhtNE/29-cfgdft-ceilometer-audit-and-update-existing-configuration-for-compliance-with-cross-project-spec"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","GNOBEN [Ceilometer] -- Ansible role for production/scale testing deployments","opportunistic",40,2,7,3,3,1,"<No detail>","<No detail>","https://trello.com/c/3jleOgdI/21-gnoben-ceilometer-ansible-role-for-production-scale-testing-deployments"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Open Source Strategy","FLTMGT",69,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/Wt7zaSSi/25-fltmgt-open-source-strategy"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Implementation/Design beyond MVP","FLTMGT",68,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/VaGCPK21/26-fltmgt-implementation-design-beyond-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Automated Remediation MVP","FLTMGT",54,0,0,0,2,1,"<No detail>","<No detail>","https://trello.com/c/NLLzJ7Mp/23-fltmgt-automated-remediation-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","FLTMGT - Arbitary Task Execution - MVP","FLTMGT",54,0,0,0,2,1,"<No detail>","<No detail>","https://trello.com/c/aSHj03c5/27-fltmgt-arbitary-task-execution-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce memoization issues","opportunistic",68,0,0,0,3,0,"<No detail>","<No detail>","https://trello.com/c/En1NXDfq/53-hznopt-reduce-memoization-issues"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - reduce unnecessary API calls for Instances","opportunistic",12,0,0,0,2,1,"<No detail>","<No detail>","https://trello.com/c/lm149Nap/54-hznopt-reduce-unnecessary-api-calls-for-instances"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNADM - Add new setting and apply to instances page","opportunistic",68,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/DEKIwSRZ/50-hznadm-add-new-setting-and-apply-to-instances-page"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOPT - investigate broader caching","opportunistic",68,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/VQdtqhJX/55-hznopt-investigate-broader-caching"
"OSIC - Ceilometer/Horizon/FleetMgt","Accepted Backlog","HZNOVP - Draft Overview page blueprint","opportunistic",47,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/emWdrV4e/51-hznovp-draft-overview-page-blueprint"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","GNOBEN [Ceilometer] -- Deployment","opportunistic",41,0,0,0,4,2,"<No detail>","<No detail>","https://trello.com/c/2ahDuy9t/19-gnoben-ceilometer-deployment"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","CFGDFT [Ceilometer] -- Identify configuration items to decorate with new oslo.config options for classification.","CFGDFT",0,0,0,0,3,2,"<No detail>","<No detail>","https://trello.com/c/Pbsg8iFG/96-cfgdft-ceilometer-identify-configuration-items-to-decorate-with-new-oslo-config-options-for-classification"
"OSIC - Ceilometer/Horizon/FleetMgt","Ready & Bite-Sized","CFGDFT [Ceilometer] -- Evaluate configuration options for possible improvements.","CFGDFT",0,0,0,0,3,2,"<No detail>","<No detail>","https://trello.com/c/PunBAAn8/104-cfgdft-ceilometer-evaluate-configuration-options-for-possible-improvements"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNFLT - Consistent API Side Filtering - Admin>System>Volumes","opportunistic",25,0,0,0,2,1,"<No detail>","<No detail>","https://trello.com/c/7T6InI9d/102-hznflt-consistent-api-side-filtering-admin-system-volumes"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","FLTMGT - Auditor/Monitor - MVP","FLTMGT",26,0,0,0,2,1,"<No detail>","<No detail>","https://trello.com/c/nX1l9E3w/24-fltmgt-auditor-monitor-mvp"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Test design","opportunistic",21,1,4,3,4,3,"<No detail>","<No detail>","https://trello.com/c/Q4z9irmg/20-gnoben-ceilometer-test-design"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Host preparation","opportunistic",21,0,0,0,4,2,"<No detail>","<No detail>","https://trello.com/c/ouAT37vO/18-gnoben-ceilometer-host-preparation"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","HZNXST - Implement and document the new xstatic release process","opportunistic",26,0,0,0,1,1,"<No detail>","<No detail>","https://trello.com/c/bh6mvvg8/99-hznxst-implement-and-document-the-new-xstatic-release-process"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role integration tests","opportunistic",21,1,8,0,4,1,"<No detail>","<No detail>","https://trello.com/c/XqDm4tVA/45-gnoben-ceilometer-ansible-role-integration-tests"
"OSIC - Ceilometer/Horizon/FleetMgt","Doing","GNOBEN [Ceilometer] -- Ansible role documentation and configuration guide","opportunistic",2,1,4,0,4,1,"<No detail>","<No detail>","https://trello.com/c/QthrVOuU/46-gnoben-ceilometer-ansible-role-documentation-and-configuration-guide"
"OSIC - Ceilometer/Horizon/FleetMgt","Waiting on External","HZNOVP - UX/UI design from OpenStack UX team","opportunistic",69,0,0,0,2,0,"<No detail>","<No detail>","https://trello.com/c/KHDZzB2B/52-hznovp-ux-ui-design-from-openstack-ux-team"
